label,loudness,acousticness,speechiness
1,-7.756,0.741,0.0372
1,-10.035,0.375,0.0279
1,-7.028,0.624,0.0442
0,-9.5,0.91,0.0781
0,-13.959,0.594,0.364
0,-3.42,0.0632,0.065
1,-12.703,0.895,0.0354
1,-18.539,0.934,0.041
1,-7.555,0.842,0.0273
0,-12.516,0.325,0.0483
1,-8.993,0.22,0.0464
1,-8.755,0.416,0.0345
0,-15.15,0.843,0.353
1,-7.115,0.0941,0.0289
1,-5.768,0.0792,0.0234
0,-4.444,0.0154,0.268
1,-8.021,0.42,0.0354
1,-6.612,0.000358,0.046
0,-6.994,0.00734,0.205
1,-9.261,0.275,0.0742
1,-22.826,0.99,0.0423
0,-3.107,0.401,0.0273
0,-4.542,1.17e-06,0.0867
0,-4.603,0.00338,0.204
1,-9.115,0.0857,0.0734
1,-6.515,0.452,0.447
1,-4.084,0.00216,0.0598
1,-9.832,0.913,0.0502
0,-5.975,0.0403,0.0943
1,-4.788,0.0767,0.0374
0,-5.221,0.435,0.0647
1,-14.584,0.496,0.0293
0,-6.018,0.285,0.223
0,-7.02,0.147,0.431
1,-7.601,0.0529,0.0449
0,-8.101,0.064,0.0679
0,-5.864,0.161,0.0757
1,-17.148,0.756,0.0379
1,-5.174,0.0318,0.0248
1,-4.712,0.00228,0.0847
1,-14.525,0.889,0.0423
0,-6.332,0.0988,0.122
1,-6.942,0.753,0.0304
1,-4.902,0.079,0.125
0,-3.928,0.0325,0.268
1,-12.776,0.805,0.143
0,-2.274,0.00403,0.0918
1,-3.906,0.182,0.032
0,-4.293,0.202,0.105
1,-5.579,0.0173,0.0377
0,-4.993,2.04e-06,0.109
1,-5.176,0.212,0.0843
1,-13.674,0.622,0.0271
0,-5.012,0.00635,0.0405
1,-8.04,0.476,0.0287
0,-6.107,0.000986,0.322
0,-3.869,0.00898,0.511
1,-27.473,0.976,0.0427
0,-3.952,0.116,0.0366
0,-5.811,0.00582,0.134
1,-7.059,0.115,0.036
0,-2.776,0.137,0.0638
0,-4.757,0.0193,0.13
0,-5.013,0.00205,0.0415
1,-8.356,0.908,0.0502
0,-10.237,0.324,0.0278
1,-7.042,0.166,0.0349
1,-14.012,0.481,0.0409
1,-13.648,0.734,0.0358
1,-8.118,0.791,0.0308
1,-4.867,0.0284,0.0318
1,-10.362,0.849,0.0379
1,-5.012,0.0262,0.0466
1,-4.812,0.367,0.0723
0,-4.459,0.129,0.0897
0,-2.218,0.2,0.0687
1,-9.6,0.709,0.0415
1,-10.581,0.938,0.034
1,-9.969,0.721,0.401
0,-3.823,0.0194,0.0415
0,-5.789,0.14,0.0317
1,-20.631,0.839,0.0327
1,-7.408,0.335,0.0324
1,-28.55,0.941,0.0483
1,-27.421,0.99,0.0414
0,-8.049,0.0838,0.289
0,-2.482,0.094,0.0424
1,-7.517,0.424,0.0357
0,-6.107,0.000986,0.322
1,-7.133,0.347,0.0393
1,-10.42,0.209,0.0328
0,-10.062,0.103,0.106
0,-4.295,0.00196,0.0983
0,-11.895,0.912,0.371
1,-12.429,0.832,0.0328
1,-25.335,0.952,0.0475
0,-5.564,0.0117,0.264
0,-5.725,0.624,0.0581
0,-3.95,0.00446,0.246
0,-5.417,0.0659,0.287
0,-6.025,0.0318,0.0652
1,-8.377,0.434,0.0452
0,-3.772,0.176,0.215
0,-5.608,0.0831,0.221
0,-7.399,0.163,0.178
1,-12.935,0.893,0.041
1,-5.853,0.00587,0.0403
1,-16.031,0.86,0.0381
1,-15.56,0.0884,0.0315
0,-8.091,0.11,0.244
0,-3.46,0.178,0.226
1,-12.645,0.213,0.0389
1,-9.466,0.602,0.0237
1,-6.639,0.19,0.0267
1,-11.884,0.57,0.0439
0,-7.934,0.802,0.376
1,-15.878,0.846,0.0396
1,-22.807,0.977,0.0431
1,-10.993,0.0749,0.0278
0,-6.972,0.279,0.0357
0,-5.886,0.00784,0.0532
1,-4.663,0.0743,0.0349
1,-4.941,0.448,0.0291
1,-3.668,0.000226,0.0361
0,-2.591,0.0019,0.132
0,-6.939,0.0993,0.162
1,-5.853,0.00587,0.0403
0,-5.241,0.0512,0.122
0,-5.031,2.74e-06,0.124
0,-6.338,0.0311,0.2
1,-7.965,0.48,0.0307
1,-5.727,0.461,0.0271
0,-4.819,0.397,0.206
0,-5.778,0.293,0.213
0,-4.115,0.669,0.206
1,-5.791,0.00225,0.0791
0,-4.556,0.0125,0.0396
0,-7.577,0.0359,0.0539
1,-5.896,0.121,0.0666
0,-2.597,0.000123,0.0445
1,-6.015,0.267,0.0275
0,-6.649,0.197,0.0452
1,-14.162,0.29,0.0675
1,-7.353,0.0478,0.196
1,-29.601,0.994,0.0693
1,-5.871,0.0276,0.0359
1,-17.988,0.383,0.0333
1,-8.179,0.531,0.119
0,-2.79,0.0023,0.0394
0,-3.975,0.0876,0.307
0,-7.361,0.194,0.0482
1,-4.292,0.107,0.0453
0,-3.76,0.457,0.0297
0,-14.334,0.514,0.0368
1,-7.858,0.00311,0.0935
1,-16.535,0.938,0.0406
1,-19.265,0.927,0.0371
0,-5.687,0.124,0.239
1,-6.729,0.325,0.0397
1,-10.322,0.632,0.0392
1,-9.653,0.0261,0.0407
0,-12.044,0.491,0.369
1,-10.313,0.884,0.0611
1,-10.717,0.874,0.104
1,-25.777,0.992,0.041
0,-4.735,0.0866,0.217
0,-4.831,0.000402,0.119
0,-3.225,0.0164,0.0868
1,-13.174,0.608,0.0417
1,-16.599,0.491,0.0407
1,-8.867,0.357,0.0362
1,-9.544,0.862,0.0421
0,-3.003,0.0781,0.0521
0,-8.558,0.000107,0.356
1,-11.164,0.816,0.0411
0,-4.91,0.059,0.0812
1,-7.598,0.0144,0.0474
1,-14.58,0.0601,0.0349
0,-6.813,0.0185,0.353
0,-6.281,0.201,0.0276
0,-5.761,0.0144,0.271
1,-12.904,0.881,0.036
1,-5.599,0.00583,0.0361
1,-4.774,0.0624,0.0581
1,-8.143,0.171,0.156
0,-5.503,0.135,0.3
0,-10.002,0.00213,0.0445
1,-8.157,0.393,0.052
0,-3.599,6.64e-05,0.248
